Year,data.standort,Value
2009,data.public,0
2009,data.private,0
2009,data.tot,0
2010,data.public,0
2010,data.private,0
2010,data.tot,0
2011,data.public,0
2011,data.private,0
2011,data.tot,0
2012,data.public,0
2012,data.private,0
2012,data.tot,0
2013,data.public,0
2013,data.private,0
2013,data.tot,0
2014,data.public,0
2014,data.private,0
2014,data.tot,0
2015,data.public,0
2015,data.private,1
2015,data.tot,1
2016,data.public,5
2016,data.private,1
2016,data.tot,6
2017,data.public,7
2017,data.private,5
2017,data.tot,12
2018,data.public,8
2018,data.private,7
2018,data.tot,15
2019,data.public,9
2019,data.private,12
2019,data.tot,21
2020,data.public,16
2020,data.private,23
2020,data.tot,39
2021,data.public,16
2021,data.private,33
2021,data.tot,49
2022,data.public,16
2022,data.private,39
2022,data.tot,55
2023,data.public,70
2023,data.private,52
2023,data.tot,122
